eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
0,1057,0,5,0,0,4,stimuli_orig\Bicycle1.jpg,0,0,0,Bicycle1.jpg,61.0172805931511,61.117278071249984,0.09999747809888504
1,1058,0,5,0,1,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,61.21730487377863,61.31729208832758,0.09998721454894621
2,1059,0,5,0,2,6,stimuli_orig\Cactus1.jpg,0,0,0,Cactus1.jpg,61.4172971907783,61.517332497391635,0.1000353066133357
3,1060,0,5,0,3,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,61.61727161987574,61.71726323308849,0.09999161321275096
4,1061,0,5,0,4,51,stimuli_orig\Wolf3_body.jpg,0,0,0,Wolf3_body.jpg,61.81726159092068,61.91727959612035,0.10001800519967219
5,1062,0,5,0,5,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,62.01727062284499,62.11728393613612,0.10001331329112872
6,1063,0,5,0,6,19,stimuli_orig\Flower3.jpg,0,0,0,Flower3.jpg,62.217277015570744,62.31727390718106,0.0999968916103171
7,1064,0,5,0,7,22,stimuli_orig\Flower7.jpg,0,0,0,Flower7.jpg,62.41727167852423,62.51726827689072,0.09999659836648789
8,1065,0,5,0,8,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,62.61726927392101,62.71726528579893,0.09999601187791995
9,1066,0,5,0,9,14,stimuli_orig\Deer1_face.jpg,0,0,0,Deer1_face.jpg,62.8172630571421,62.91727373123467,0.10001067409257303
10,1067,0,5,0,10,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,63.01725449440846,63.117248160331656,0.09999366592319348
11,1068,0,5,0,11,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,63.21725062358382,63.31724077057561,0.09999014699178588
12,1069,0,5,0,12,33,stimuli_orig\Leaf1.jpg,0,0,0,Leaf1.jpg,63.41724206085064,63.51723777948382,0.09999571863318124
13,1070,0,5,0,13,39,stimuli_orig\Onion2.jpg,0,0,0,Onion2.jpg,63.617249626553075,63.71723273568159,0.09998310912851593
14,1071,0,5,0,14,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,63.81723314622377,63.917236782453074,0.10000363622930308
15,1072,0,5,0,15,7,stimuli_orig\Camel3_body.jpg,0,0,0,Camel3_body.jpg,64.01723924570524,64.11722323456661,0.09998398886136783
16,1073,0,5,0,16,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,64.21722628430734,64.31721760427627,0.09999131996892174
17,1074,0,5,0,17,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,64.41721860130656,64.5172131469626,0.09999454565604537
18,1075,0,5,0,18,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,64.61721355750478,64.71720927613796,0.09999571863318124
19,1076,0,5,0,19,46,stimuli_orig\Sheep2_face.jpg,0,0,0,Sheep2_face.jpg,64.81720910019158,64.9172059918019,0.0999968916103171
20,1077,0,5,0,20,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,65.01720434963408,65.11719977502298,0.09999542538889727
21,1078,0,5,0,21,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,65.217198426099,65.3171938514879,0.09999542538889727
22,1079,0,5,0,22,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,65.41719426203008,65.51719086039611,0.09999659836603314
23,1080,0,5,0,23,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,65.61719039120544,65.71718493686149,0.09999454565604537
24,1081,0,5,0,24,43,stimuli_orig\Screw1.jpg,0,0,0,Screw1.jpg,65.81718388118179,65.91718077279256,0.09999689161077185
25,1082,0,5,0,25,42,stimuli_orig\Raccoon3_face.jpg,0,0,0,Raccoon3_face.jpg,66.01718147657857,66.11717719521221,0.09999571863363599
26,1083,0,5,0,26,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,66.21717525979966,66.31717479060899,0.09999953080932755
27,1084,0,5,0,27,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,66.41717109573074,66.51716681436392,0.09999571863318124
28,1085,0,5,0,28,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,66.61716575868468,66.71716177056214,0.09999601187746521
